source_table_index,source_row,norm_code,resource_category,resource_code,resource_name,unit_raw,quantity_per_work_unit_raw
58,7,27-14-036-02,machine,01770,Шебенни тарқатувчи машина,маш.-с,1
58,8,27-14-036-01,machine,01834,Автосамосвал,маш.-с,
58,8,27-14-036-02,machine,01834,Автосамосвал,маш.-с,"1,5"
58,9,27-14-036-01,machine,03322,Зичлагич Каток,маш.-с,
58,9,27-14-036-02,machine,03322,Зичлагич Каток,маш.-с,2
58,10,27-14-036-01,machine,—,Погрузчик,маш.-с,
58,10,27-14-036-02,machine,—,Погрузчик,маш.-с,1
58,13,27-14-036-01,material,9249,Битум эмулсияси,тн,
58,13,27-14-036-02,material,9249,Битум эмулсияси,тн,"0,76"
58,14,27-14-036-01,material,43113,Чақиқ тош (Шебень),м³,
58,14,27-14-036-02,material,43113,Чақиқ тош (Шебень),м³,"20,"
59,2,27-14-037-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,61"
59,4,27-14-037-01,machine,1770,Комбинациялашган йўл машиналари,маш.-с,"0,61"
59,6,27-14-037-01,material,34251,"Суюқ хлорли кальций, I нав",т,"12,86"
60,2,27-14-041-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"2,36"
60,3,27-14-041-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,18"
60,5,27-14-041-01,machine,01770,Комбинациялашган йўл машиналари,маш.-с,"1,18"
60,7,27-14-041-01,material,09219,Сув,М3,"0,0135"
60,8,27-14-041-01,material,43111,Қум,Т,"0,04"
60,9,27-14-041-01,material,44849,Цемент маркаси лойиҳа бўйича,Т,"0,02"
61,2,27-14-042-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"41,2"
61,3,27-14-042-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"20,6"
61,5,27-14-042-01,machine,01770,Комбинациялашган йўл машиналари,маш.-с,"20,6"
61,7,27-14-042-01,material,09219,Сув,м3,"0,161"
61,8,27-14-042-01,material,35516,Чипта қоп,m2,10
61,9,27-14-042-01,material,43111,Қум,м3,"0,318"
61,10,27-14-042-01,material,44849,Цемент маркаси лойиҳа бўйича,т,"0,224"
62,2,27-14-046-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"41,82"
62,2,27-14-046-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"56,66"
62,3,27-14-046-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"20,91"
62,3,27-14-046-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"28,33"
62,5,27-14-046-01,machine,01771,Йўл устаси машинаси,маш.-с,"20,91"
62,5,27-14-046-02,machine,01771,Йўл устаси машинаси,маш.-с,"28,33"
62,7,27-14-046-01,material,31434,Грунтовка,т,"0,0008"
62,7,27-14-046-02,material,31434,Грунтовка,т,"0,00965"
62,8,27-14-046-01,material,31520,Эритувчи,т,"0,0006"
62,8,27-14-046-02,material,31520,Эритувчи,т,"0,0064"
62,9,27-14-046-01,material,41109,Ишлатишга тайёр эмаль бўёқлар,т,"0,0052"
